ProspectType,ActionType,SubAction,Nationality,IDType,ID,ActionDate
Live-In,Placements,New Family,Filipina,Contract,1023212,2023-06-06 09:33:31
Live-In,Placements,New Family,Filipina,Contract,1023216,2023-06-06 11:50:12
Live-In,Placements,New Family,Filipina,Contract,1023223,2023-06-06 14:13:06
Live-In,Placements,New Family,Filipina,Contract,1023236,2023-06-07 10:54:27
Live-In,Placements,New Family,Filipina,Contract,1023238,2023-06-07 11:38:57
Live-In,Placements,New Family,Filipina,Contract,1023257,2023-06-08 08:13:12
Live-In,Placements,New Family,Filipina,Contract,1023262,2023-06-08 10:02:58
Live-In,Placements,New Family,Filipina,Contract,1023273,2023-06-08 15:09:05
Live-In,Placements,New Family,Filipina,Contract,1023275,2023-06-08 15:55:47
Live-In,Placements,New Family,Filipina,Contract,1023279,2023-06-08 16:37:59
Live-In,Placements,New Family,Filipina,Contract,1023282,2023-06-08 17:46:59
Live-In,Placements,New Family,Filipina,Contract,1023304,2023-06-09 17:27:02
Live-In,Placements,New Family,Filipina,Contract,1023309,2023-06-09 20:51:01
Live-In,Placements,New Family,Filipina,Contract,1023310,2023-06-10 08:16:54
Live-In,Placements,New Family,Filipina,Contract,1023311,2023-06-10 09:40:38
Live-In,Placements,New Family,Filipina,Contract,1023318,2023-06-10 12:04:18
Live-In,Placements,New Family,Filipina,Contract,1023319,2023-06-10 12:15:58
Live-In,Placements,New Family,Filipina,Contract,1023331,2023-06-10 20:53:57
Live-In,Placements,New Family,Filipina,Contract,1023338,2023-06-11 08:10:28
Live-In,Placements,New Family,Filipina,Contract,1023339,2023-06-11 08:11:32
Live-In,Placements,New Family,Filipina,Contract,1023341,2023-06-11 08:58:13
Live-In,Placements,New Family,Filipina,Contract,1023346,2023-06-11 12:13:17
Live-In,Placements,New Family,Filipina,Contract,1023348,2023-06-11 12:36:04
Live-In,Placements,New Family,Filipina,Contract,1023354,2023-06-11 16:36:23
Live-In,Placements,New Family,Filipina,Contract,1023355,2023-06-11 18:10:26
Live-In,Placements,New Family,Filipina,Contract,1023356,2023-06-11 19:12:42
Live-In,Placements,New Family,Filipina,Contract,1023358,2023-06-11 21:58:28
Live-In,Placements,New Family,Filipina,Contract,1023360,2023-06-12 08:08:09
Live-In,Placements,New Family,Filipina,Contract,1023362,2023-06-12 10:42:28
Live-In,Placements,New Family,Filipina,Contract,1023366,2023-06-12 12:42:46
Live-In,Placements,New Family,Filipina,Contract,1023387,2023-06-12 21:46:28
Live-In,Placements,New Family,Filipina,Contract,1023388,2023-06-13 08:06:21
Live-In,Placements,New Family,Filipina,Contract,1023395,2023-06-13 10:58:41
Live-In,Placements,New Family,Filipina,Contract,1023399,2023-06-13 13:05:35
Live-In,Placements,New Family,Filipina,Contract,1023401,2023-06-13 13:14:22
Live-In,Placements,New Family,Filipina,Contract,1023416,2023-06-14 08:01:28
Live-In,Placements,New Family,Filipina,Contract,1023427,2023-06-14 17:54:28
Live-In,Placements,New Family,Filipina,Contract,1023428,2023-06-14 18:12:10
Live-In,Placements,New Family,Filipina,Contract,1023429,2023-06-14 18:38:40
Live-In,Placements,New Family,Filipina,Contract,1023430,2023-06-14 18:42:22
Live-In,Placements,New Family,Filipina,Contract,1023439,2023-06-15 11:54:05
Live-In,Placements,New Family,Filipina,Contract,1023445,2023-06-15 16:38:52
Live-In,Placements,New Family,Filipina,Contract,1023448,2023-06-15 17:47:28
Live-In,Placements,New Family,Filipina,Contract,1023450,2023-06-15 18:43:24
Live-In,Placements,New Family,Filipina,Contract,1023453,2023-06-16 08:19:32
Live-In,Placements,New Family,Filipina,Contract,1023460,2023-06-16 14:46:31
Live-In,Placements,New Family,Filipina,Contract,1023462,2023-06-16 15:02:23
Live-In,Placements,New Family,Filipina,Contract,1023463,2023-06-16 15:45:16
Live-In,Placements,New Family,Filipina,Contract,1023469,2023-06-16 17:16:45
Live-In,Placements,New Family,Filipina,Contract,1023471,2023-06-16 17:46:22
Live-In,Placements,New Family,Filipina,Contract,1023478,2023-06-17 10:35:20
Live-In,Placements,New Family,Filipina,Contract,1023479,2023-06-17 10:51:52
Live-In,Placements,New Family,Filipina,Contract,1023482,2023-06-17 11:40:11
Live-In,Placements,New Family,Filipina,Contract,1023492,2023-06-17 22:00:11
Live-In,Placements,New Family,Filipina,Contract,1023502,2023-06-18 19:47:19
Live-In,Placements,New Family,Filipina,Contract,1023504,2023-06-19 08:55:21
Live-In,Placements,New Family,Filipina,Contract,1023515,2023-06-19 14:43:53
Live-In,Placements,New Family,Filipina,Contract,1023517,2023-06-19 16:48:23
Live-In,Placements,New Family,Filipina,Contract,1023521,2023-06-19 18:53:05
Live-In,Placements,New Family,Filipina,Contract,1023528,2023-06-20 01:10:37
Live-In,Placements,New Family,Filipina,Contract,1023531,2023-06-20 08:12:39
Live-In,Placements,New Family,Filipina,Contract,1023532,2023-06-20 09:47:24
Live-In,Placements,New Family,Filipina,Contract,1023554,2023-06-20 18:36:15
Live-In,Placements,New Family,Filipina,Contract,1023559,2023-06-21 08:03:01
Live-In,Placements,New Family,Filipina,Contract,1023569,2023-06-21 11:59:02
Live-In,Placements,New Family,Filipina,Contract,1023572,2023-06-21 13:00:28
Live-In,Placements,New Family,Filipina,Contract,1023593,2023-06-22 12:31:03
Live-In,Placements,New Family,Filipina,Contract,1023596,2023-06-22 15:37:02
Live-In,Placements,New Family,Filipina,Contract,1023600,2023-06-22 18:31:51
Live-In,Placements,New Family,Filipina,Contract,1023603,2023-06-22 19:16:06
Live-In,Placements,New Family,Filipina,Contract,1023608,2023-06-23 08:10:53
Live-In,Placements,New Family,Filipina,Contract,1023612,2023-06-23 11:15:48
Live-In,Placements,New Family,Filipina,Contract,1023616,2023-06-23 13:02:26
Live-In,Placements,New Family,Filipina,Contract,1023624,2023-06-23 16:49:09
Live-In,Placements,New Family,Filipina,Contract,1023634,2023-06-24 10:36:34
Live-In,Placements,New Family,Filipina,Contract,1023635,2023-06-24 11:22:02
Live-In,Placements,New Family,Filipina,Contract,1023643,2023-06-24 15:21:01
Live-In,Placements,New Family,Filipina,Contract,1023646,2023-06-24 16:29:59
Live-In,Placements,New Family,Filipina,Contract,1023650,2023-06-24 18:21:11
Live-In,Placements,New Family,Filipina,Contract,1023652,2023-06-24 19:51:01
Live-In,Placements,New Family,Filipina,Contract,1023654,2023-06-25 09:39:12
Live-In,Placements,New Family,Filipina,Contract,1023661,2023-06-25 13:44:54
Live-In,Placements,New Family,Filipina,Contract,1023663,2023-06-25 16:01:11
Live-In,Placements,New Family,Filipina,Contract,1023665,2023-06-25 19:41:28
Live-In,Placements,New Family,Filipina,Contract,1023668,2023-06-26 08:22:53
Live-In,Placements,New Family,Filipina,Contract,1023671,2023-06-26 11:08:51
Live-In,Placements,New Family,Filipina,Contract,1023675,2023-06-26 13:10:36
Live-In,Placements,New Family,Filipina,Contract,1023677,2023-06-26 13:59:11
Live-In,Placements,New Family,Filipina,Contract,1023682,2023-06-26 16:28:59
Live-In,Placements,New Family,Filipina,Contract,1023700,2023-06-27 18:11:30
Live-In,Placements,New Family,Filipina,Contract,1023701,2023-06-27 19:05:08
Live-In,Placements,New Family,Filipina,Contract,1023703,2023-06-28 12:35:53
Live-In,Placements,New Family,Filipina,Contract,1023706,2023-06-28 14:14:59
Live-In,Placements,New Family,Filipina,Contract,1023710,2023-06-28 15:48:06
Live-In,Placements,New Family,Filipina,Contract,1023711,2023-06-28 18:37:57
Live-In,Placements,New Family,Filipina,Contract,1023717,2023-06-29 12:24:36
Live-In,Placements,New Family,Filipina,Contract,1023723,2023-06-29 17:38:38
Live-In,Placements,New Family,Filipina,Contract,1023724,2023-06-29 18:29:40
Live-In,Placements,New Family,Filipina,Contract,1023725,2023-06-29 20:39:20
Live-In,Placements,New Family,Filipina,Contract,1023730,2023-06-30 08:16:04
Live-In,Placements,New Family,Filipina,Contract,1023750,2023-06-30 12:10:48
Live-In,Placements,New Family,Filipina,Contract,1023751,2023-06-30 12:17:24
Live-In,Placements,New Family,Filipina,Contract,1023755,2023-06-30 12:30:14
Live-In,Placements,New Family,Filipina,Contract,1023764,2023-06-30 17:15:03
Live-In,Placements,New Family,Filipina,Contract,1023779,2023-07-01 09:15:07
Live-In,Placements,New Family,Filipina,Contract,1023782,2023-07-01 11:46:16
Live-In,Placements,New Family,Filipina,Contract,1023789,2023-07-01 15:00:54
Live-In,Placements,New Family,Filipina,Contract,1023791,2023-07-01 16:01:17
Live-In,Placements,New Family,Filipina,Contract,1023797,2023-07-01 18:59:25
Live-In,Placements,New Family,Filipina,Contract,1023813,2023-07-02 16:51:57
Live-In,Placements,New Family,Filipina,Contract,1023814,2023-07-02 17:09:06
Live-In,Placements,New Family,Filipina,Contract,1023816,2023-07-02 18:45:29
Live-In,Placements,New Family,Filipina,Contract,1023818,2023-07-02 19:19:34
Live-In,Placements,New Family,Filipina,Contract,1023821,2023-07-03 09:21:31
Live-In,Placements,New Family,Filipina,Contract,1023823,2023-07-03 09:28:14
Live-In,Placements,New Family,Filipina,Contract,1023826,2023-07-03 10:12:12
Live-In,Placements,New Family,Filipina,Contract,1023830,2023-07-03 11:58:25
Live-In,Placements,New Family,Filipina,Contract,1023834,2023-07-03 14:01:50
Live-In,Placements,New Family,Filipina,Contract,1023837,2023-07-03 16:48:38
Live-In,Placements,New Family,Filipina,Contract,1023839,2023-07-03 17:07:38
Live-In,Placements,New Family,Filipina,Contract,1023844,2023-07-03 18:52:55
Live-In,Placements,New Family,Filipina,Contract,1023847,2023-07-03 21:01:11
Live-In,Placements,New Family,Filipina,Contract,1023874,2023-07-05 09:41:27
Live-In,Placements,New Family,Filipina,Contract,1023882,2023-07-05 13:44:24
Live-In,Placements,New Family,Filipina,Contract,1023884,2023-07-05 14:23:34
Live-In,Placements,New Family,Filipina,Contract,1023895,2023-07-06 00:11:57
Live-In,Placements,New Family,Filipina,Contract,1023910,2023-07-06 16:33:23
Live-In,Placements,New Family,Filipina,Contract,1023912,2023-07-06 19:03:04
Live-In,Placements,New Family,Filipina,Contract,1023913,2023-07-07 08:05:44
Live-In,Placements,New Family,Filipina,Contract,1023914,2023-07-07 08:06:22
Live-In,Placements,New Family,Filipina,Contract,1023915,2023-07-07 08:22:38
Live-In,Placements,New Family,Filipina,Contract,1023917,2023-07-07 10:37:52
Live-In,Placements,New Family,Filipina,Contract,1023921,2023-07-07 11:51:16
Live-In,Placements,New Family,Filipina,Contract,1023922,2023-07-07 12:37:23
Live-In,Placements,New Family,Filipina,Contract,1023925,2023-07-07 13:45:36
Live-In,Placements,New Family,Filipina,Contract,1023926,2023-07-07 14:52:21
Live-In,Placements,New Family,Filipina,Contract,1023932,2023-07-07 16:34:19
Live-In,Placements,New Family,Filipina,Contract,1023934,2023-07-07 17:40:28
Live-In,Placements,New Family,Filipina,Contract,1023938,2023-07-07 21:34:25
Live-In,Placements,New Family,Filipina,Contract,1023942,2023-07-08 10:41:03
Live-In,Placements,New Family,Filipina,Contract,1023944,2023-07-08 11:26:55
Live-In,Placements,New Family,Filipina,Contract,1023949,2023-07-08 13:34:45
Live-In,Placements,New Family,Filipina,Contract,1023952,2023-07-08 14:50:12
Live-In,Placements,New Family,Filipina,Contract,1023955,2023-07-08 19:09:21
Live-In,Placements,New Family,Filipina,Contract,1023966,2023-07-09 12:08:22
Live-In,Placements,New Family,Filipina,Contract,1023967,2023-07-09 13:10:02
Live-In,Placements,New Family,Filipina,Contract,1023968,2023-07-09 13:45:34
Live-In,Placements,New Family,Filipina,Contract,1023976,2023-07-10 11:24:35
Live-In,Placements,New Family,Filipina,Contract,1023981,2023-07-10 13:47:40
Live-In,Placements,New Family,Filipina,Contract,1023992,2023-07-10 20:02:06
Live-In,Placements,New Family,Filipina,Contract,1023994,2023-07-11 08:07:24
Live-In,Placements,New Family,Filipina,Contract,1023995,2023-07-11 09:21:33
Live-In,Placements,New Family,Filipina,Contract,1023998,2023-07-11 11:56:16
Live-In,Placements,New Family,Filipina,Contract,1024013,2023-07-12 00:40:53
Live-In,Placements,New Family,Filipina,Contract,1024016,2023-07-12 08:12:22
Live-In,Placements,New Family,Filipina,Contract,1024023,2023-07-12 13:20:49
Live-In,Placements,New Family,Filipina,Contract,1024027,2023-07-12 16:14:43
Live-In,Placements,New Family,Filipina,Contract,1024029,2023-07-12 17:41:42
Live-In,Placements,New Family,Filipina,Contract,1024032,2023-07-12 18:04:42
Live-In,Placements,New Family,Filipina,Contract,1024036,2023-07-13 08:04:47
Live-In,Placements,New Family,Filipina,Contract,1024038,2023-07-13 08:28:14
Live-In,Placements,New Family,Filipina,Contract,1024050,2023-07-13 17:02:25
Live-In,Placements,New Family,Filipina,Contract,1024067,2023-07-14 15:23:52
